ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
ChaosCircle,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/ChaosCircle_0.png,0,0,67,36,33.5,18,0,0
graphics/ChaosCircle_1.png,0,0,65,39,32.5,14.5,0,0
graphics/ChaosCircle_2.png,0,0,65,46,32.5,23,0,0
graphics/ChaosCircle_3.png,0,0,144,144,72,72,0,0
graphics/ChaosCircle_4.png,0,0,144,144,72,72,0,0
graphics/ChaosCircle_5.png,0,0,144,144,72,72,0,0
graphics/ChaosCircle_6.png,0,0,144,144,72,72,0,0
graphics/ChaosCircle_7.png,0,0,144,144,72,72,0,0
graphics/ChaosCircle_8.png,0,0,144,144,72,72,0,0
graphics/ChaosCircle_9.png,0,0,144,144,72,72,0,0
graphics/ChaosCircle_10.png,0,0,144,144,72,72,0,0
graphics/ChaosCircle_11.png,0,0,144,144,72,72,0,0
